"samples"	"Sphingomonas1"	"Pseudomonas1"	"Caloribacterium1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Pseudomonas4"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Sphingomonas3"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Pseudomonas7"	"Sphingomonas4"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Planctomicrobium"	"Microbacteriaceae3"	"Sphingomonas5"	"Gaetbulimicrobium1"	"Microbacteriaceae4"	"Pseudomonas8"	"Gaetbulimicrobium2"	"Aureimonas"	"Sphingomonadaceae"	"Pseudomonas9"	"Puniceicoccus1"	"Massilia4"	"Polaromonas"	"Pseudomonas10"	"Janthinobacterium"	"Pseudomonas11"	"Acinetobacter"	"Pseudomonas12"	"Neorhizobium"	"Acetobacteraceae3"	"Pseudomonas13"	"Pseudomonas14"	"Methylobacterium2"	"Sphingomonas6"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Puniceicoccus2"	"Flavobacterium"	"Sphingomonas7"	"Hymenobacter1"	"Sphingomonas8"	"Pedobacter3"	"Caloribacterium2"	"Sphingomonas9"	"Sphingomonas11"	"Persicirhabdus"	"Pseudomonas15"	"Pseudomonas29"	"Pseudomonas21"	"Pseudomonas24"	"Pseudomonas16"	"Massilia5"	"Sphingomonas10"	"Arthrobacter"	"Pseudomonas17"	"Sphingomonas12"	"Pseudomonas20"	"Comamonas"	"Pseudomonas19"	"Pseudomonas18"	"Brevundimonas"	"Sphingomonas13"	"Hymenobacter2"	"Pseudomonas22"	"Duganella2"	"Pseudomonas23"	"Hymenobacter3"	"Pseudomonas25"	"Rhizobium2"	"Staphylococcus"	"Sphingomonas14"	"Pseudomonas26"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Acetobacteraceae4"	"Pseudomonas27"	"Pseudomonas28"	"Thermoproteus"	"Sphingomonas15"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Rhizobium3"	"Pedobacter5"	"Sphingomonas17"	"Pseudomonas35"	"Sphingomonas16"	"Sphingomonas18"	"Hymenobacter4"	"Pseudomonas32"	"Sphingomonas19"	"Epilithonimonas"	"Ramlibacter2"	"Sphingomonas21"	"Caloribacterium3"	"Pseudomonas31"	"Paenibacillus"	"Caloribacterium4"	"Pseudomonas33"	"Sphingomonas20"	"Caloribacterium5"	"Pseudomonas34"	"Caloribacterium6"	"Sphingomonas22"	"Methylobacterium3"	"Pseudomonas36"	"Cloacibacterium"	"Caloribacterium7"	"Caloribacterium8"	"Pseudomonas37"	"Caloribacterium9"	"Massilia6"	"Massilia7"	"Caloribacterium10"	"Massilia8"	"Sphingomonas23"	"Sphingomonas24"	"Methylobacterium4"	"Caloribacterium11"	"Caloribacterium12"	"Pseudomonas39"	"Microbacteriaceae5"	"Pseudomonas38"	"Sphingomonas25"	"Pseudomonas40"	"Sphingomonas26"	"Sphingomonas27"	"Phycisphaera"	"Caloribacterium13"	"Pseudomonas41"	"dataset.x"	"ROW_TOTALS"	"total"	"mtDNA"	"cpDNA"	"contam"	"prop_c"	"controls"	"in_MED"	"TOT_MED"	"n.post"	"n.pre"	"n.contam"	"prop.contam"	"n.otus"	"PlotNum"	"SubPlotTx"	"PlotCond"	"txfull"	"SampType"	"DmgM"	"DmgAny"	"NDmgTypes"
"11"	"NPB13_006_TD"	863	4352	110	0	2	78	26	13	192	0	34	3	43	0	0	36	0	0	0	6	0	0	0	0	17	0	0	0	0	0	0	0	0	0	2	0	4	48	0	1	8	1	0	0	1	0	0	2	0	0	0	0	9	33	0	14	1	0	0	0	0	1	0	4	0	3	11	3	1	26	8	35	0	20	10	13	0	22	6	2	0	14	29	3	8	0	23	1	21	0	3	0	0	5	12	0	0	0	0	0	19	0	7	0	0	0	0	4	0	0	0	0	1	1	9	2	0	0	0	2	13	0	3	5	0	0	1	1	1	0	8	0	1	1	8	1	2	0	0	0	0	4	0	0	1	6	0	6	2	0	1	2	0	0	14	"NPB2013"	6309	8092	1173	286	1459	0.180301532377657	"0"	"NPB13_006_TD"	6310	8473	21697	13224	0.6095	141	6	"TX"	"JA"	"JATX"	"4L"	"y"	1	1
"12"	"NPB13_006_TU"	6	157	44	0	21	0	0	0	0	0	0	19	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	0	1	0	0	0	3	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"NPB2013"	347	9470	3899	5149	9048	0.955438225976769	"0"	"NPB13_006_TU"	347	533	38102	37569	0.986	59	6	"TX"	"JA"	"JATX"	"4L"	"n"	0	0
"13"	"NPB13_008_CD"	77	918	2110	1	0	0	0	4	0	0	0	115	0	0	86	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	65	34	0	0	0	6	1	6	0	7	0	2	0	3	1	0	18	5	4	0	0	0	5	0	6	0	11	0	0	0	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	11	2	0	19	9	0	21	2	15	0	0	1	0	12	17	0	12	0	0	11	0	0	0	0	12	12	0	0	0	0	0	0	0	10	15	0	"NPB2013"	3714	10892	5093	1860	6953	0.638358428204187	"0"	"NPB13_008_CD"	3731	1804	35082	33278	0.9486	49	8	"C"	"SA"	"SAC"	"2L"	"y"	1	1
"14"	"NPB13_008_CU"	644	99	690	0	3	0	0	1	0	2	0	0	0	0	2	24	0	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	8	2	0	4	0	14	0	2	11	0	0	1	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	3	0	0	4	0	0	8	1	6	1	0	2	0	7	2	0	7	0	0	6	0	1	0	0	7	3	0	1	0	1	0	2	4	3	3	0	"NPB2013"	1650	9585	4142	3664	7806	0.814397496087637	"0"	"NPB13_008_CU"	1655	1252	20421	19169	0.9387	50	8	"C"	"SA"	"SAC"	"4L"	"n"	0	0
"15"	"NPB13_008_TD"	254	2687	1731	0	55	157	0	72	65	21	5	2	7	6	0	13	0	0	0	110	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	37	0	2	0	3	0	0	0	97	0	2	0	0	0	0	6	17	0	6	4	0	0	0	0	0	0	1	0	37	4	4	4	22	15	8	1	22	1	0	0	11	0	0	3	17	20	0	1	0	11	0	15	0	0	0	0	3	1	4	2	0	0	0	9	11	0	0	0	0	0	0	0	1	4	1	0	0	4	0	0	0	0	7	15	0	15	28	0	9	3	10	1	0	5	0	16	10	1	9	0	0	8	0	3	0	0	4	8	2	0	6	0	0	1	0	8	9	1	"NPB2013"	5779	12766	3946	2155	6101	0.477910073633088	"0"	"NPB13_008_TD"	5796	6668	26615	19947	0.7495	175	8	"TX"	"SA"	"SATX"	"2L"	"y"	1	1
"16"	"NPB13_008_TU"	87	60	95	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	34	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	"NPB2013"	330	6217	2613	3144	5757	0.926009329258485	"0"	"NPB13_008_TU"	330	449	18108	17659	0.9752	52	8	"TX"	"SA"	"SATX"	"4L"	"n"	0	0
"17"	"NPB13_009_CD"	302	2146	2175	0	6	13	0	155	4	2	0	256	1	0	3	10	0	0	1	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	17	0	0	28	0	0	0	44	0	0	0	333	0	0	0	0	0	0	1	15	0	2	0	1	0	0	0	0	0	1	0	30	15	3	14	21	7	15	0	13	0	0	0	15	2	0	0	8	8	5	2	0	16	0	12	0	27	0	0	1	0	0	0	0	0	2	9	19	0	0	0	0	0	0	0	2	17	0	1	0	4	2	0	0	0	16	4	0	10	1	0	18	13	10	0	0	10	0	18	13	0	11	0	0	11	0	3	0	0	14	10	4	2	4	3	0	2	1	6	3	1	"NPB2013"	5983	10415	3103	190	3293	0.316178588574172	"0"	"NPB13_009_CD"	5995	7158	19431	12273	0.6316	194	9	"C"	"M"	"MC"	"4L"	"y"	1	1
"18"	"NPB13_009_CU"	157	265	455	0	11	15	0	3	0	5	0	0	0	0	10	8	0	0	10	0	0	0	0	12	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	7	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	5	0	1	0	1	2	1	0	3	0	0	0	3	0	0	2	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	4	0	5	0	0	3	0	1	0	0	0	0	2	3	0	3	0	0	2	0	0	0	0	3	2	0	0	0	1	0	0	0	2	3	0	"NPB2013"	1047	12244	4187	6870	11057	0.903054557334204	"0"	"NPB13_009_CU"	1050	917	35594	34677	0.9742	66	9	"C"	"M"	"MC"	"4L"	"n"	0	0
"19"	"NPB13_009_TD"	93	107	7689	0	4246	14	1	15	1	9	0	46	0	77	99	3	0	0	5	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	43	0	0	0	214	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	123	8	1	0	2	5	0	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	12	2	71	0	0	0	0	0	0	0	0	11	0	1	0	5	2	0	0	0	48	0	0	48	0	0	41	1	38	0	0	4	0	43	42	0	39	0	0	39	0	0	0	0	32	44	2	3	0	0	2	0	0	38	27	0	"NPB2013"	13438	25590	10910	468	11378	0.44462680734662	"0"	"NPB13_009_TD"	13480	6980	46068	39088	0.8485	112	9	"TX"	"M"	"MTX"	"4L"	"y"	1	1
"20"	"NPB13_009_TU"	0	23	39	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"NPB2013"	75	6862	1900	4863	6763	0.985572719323812	"0"	"NPB13_009_TU"	75	89	29258	29169	0.997	24	9	"TX"	"M"	"MTX"	"3L"	"n"	0	0
