"samples"	"Sphingomonas1"	"Pseudomonas1"	"Caloribacterium1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Pseudomonas4"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Sphingomonas3"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Pseudomonas7"	"Sphingomonas4"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Planctomicrobium"	"Microbacteriaceae3"	"Sphingomonas5"	"Gaetbulimicrobium1"	"Microbacteriaceae4"	"Pseudomonas8"	"Gaetbulimicrobium2"	"Aureimonas"	"Sphingomonadaceae"	"Pseudomonas9"	"Puniceicoccus1"	"Massilia4"	"Polaromonas"	"Pseudomonas10"	"Janthinobacterium"	"Pseudomonas11"	"Acinetobacter"	"Pseudomonas12"	"Neorhizobium"	"Acetobacteraceae3"	"Pseudomonas13"	"Pseudomonas14"	"Methylobacterium2"	"Sphingomonas6"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Puniceicoccus2"	"Flavobacterium"	"Sphingomonas7"	"Hymenobacter1"	"Sphingomonas8"	"Pedobacter3"	"Caloribacterium2"	"Sphingomonas9"	"Sphingomonas11"	"Persicirhabdus"	"Pseudomonas15"	"Pseudomonas29"	"Pseudomonas21"	"Pseudomonas24"	"Pseudomonas16"	"Massilia5"	"Sphingomonas10"	"Arthrobacter"	"Pseudomonas17"	"Sphingomonas12"	"Pseudomonas20"	"Comamonas"	"Pseudomonas19"	"Pseudomonas18"	"Brevundimonas"	"Sphingomonas13"	"Hymenobacter2"	"Pseudomonas22"	"Duganella2"	"Pseudomonas23"	"Hymenobacter3"	"Pseudomonas25"	"Rhizobium2"	"Staphylococcus"	"Sphingomonas14"	"Pseudomonas26"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Acetobacteraceae4"	"Pseudomonas27"	"Pseudomonas28"	"Thermoproteus"	"Sphingomonas15"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Rhizobium3"	"Pedobacter5"	"Sphingomonas17"	"Pseudomonas35"	"Sphingomonas16"	"Sphingomonas18"	"Hymenobacter4"	"Pseudomonas32"	"Sphingomonas19"	"Epilithonimonas"	"Ramlibacter2"	"Sphingomonas21"	"Caloribacterium3"	"Pseudomonas31"	"Paenibacillus"	"Caloribacterium4"	"Pseudomonas33"	"Sphingomonas20"	"Caloribacterium5"	"Pseudomonas34"	"Caloribacterium6"	"Sphingomonas22"	"Methylobacterium3"	"Pseudomonas36"	"Cloacibacterium"	"Caloribacterium7"	"Caloribacterium8"	"Pseudomonas37"	"Caloribacterium9"	"Massilia6"	"Massilia7"	"Caloribacterium10"	"Massilia8"	"Sphingomonas23"	"Sphingomonas24"	"Methylobacterium4"	"Caloribacterium11"	"Caloribacterium12"	"Pseudomonas39"	"Microbacteriaceae5"	"Pseudomonas38"	"Sphingomonas25"	"Pseudomonas40"	"Sphingomonas26"	"Sphingomonas27"	"Phycisphaera"	"Caloribacterium13"	"Pseudomonas41"	"dataset.x"	"ROW_TOTALS"	"total"	"mtDNA"	"cpDNA"	"contam"	"prop_c"	"controls"	"in_MED"	"TOT_MED"	"n.post"	"n.pre"	"n.contam"	"prop.contam"	"n.otus"	"PlotNum"	"SubPlotTx"	"PlotCond"	"txfull"	"SampType"	"DmgM"	"DmgAny"	"NDmgTypes"
"21"	"NPB13_010_CD"	17	1366	1190	0	3322	1	0	269	0	0	0	1	0	7	31	0	0	0	29	0	0	0	0	772	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	148	0	0	0	262	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	6	9	6	0	8	0	0	0	12	0	9	0	10	10	0	0	0	5	0	4	0	2	0	0	0	0	0	0	0	0	82	5	15	0	0	0	0	0	0	0	0	52	0	0	0	6	0	0	0	0	12	5	0	7	1	0	11	0	2	0	0	16	0	5	7	0	6	0	0	8	0	0	0	0	7	8	28	1	3	0	6	0	0	4	3	8	"NPB2013"	7855	10106	1689	16	1705	0.168711656441718	"0"	"NPB13_010_CD"	7865	15741	26429	10688	0.4044	202	10	"C"	"M"	"MC"	"4L"	"y"	1	1
"22"	"NPB13_010_CU"	20	173	134	0	19	0	0	3	0	0	0	8	0	0	13	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	"NPB2013"	406	7075	2514	4112	6626	0.936537102473498	"0"	"NPB13_010_CU"	406	379	25639	25260	0.9852	40	10	"C"	"M"	"MC"	"4L"	"n"	0	0
"23"	"NPB13_010_TD"	10	2383	3137	0	977	1	0	244	0	0	0	1427	0	0	0	1	0	0	118	0	0	0	0	66	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	546	0	0	0	116	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	1	41	0	0	0	16	13	6	0	12	0	0	0	14	0	64	0	9	7	0	0	0	15	0	9	0	291	0	0	0	0	0	0	0	0	91	4	35	0	0	0	0	0	0	0	0	47	0	0	0	10	0	0	0	0	27	9	0	13	2	0	13	0	16	0	0	3	0	13	22	0	11	0	0	10	0	0	0	0	9	18	30	0	5	0	21	0	0	14	7	10	"NPB2013"	10006	14878	4222	26	4248	0.285522247613927	"0"	"NPB13_010_TD"	10025	10172	24409	14237	0.5833	123	10	"TX"	"M"	"MTX"	"4L"	"y"	1	1
"24"	"NPB13_010_TU"	333	347	186	0	312	1	0	21	0	0	0	4	0	19	23	9	0	0	323	1	0	0	0	308	6	0	0	0	10	20	0	0	0	0	0	0	0	0	0	1	0	31	0	0	0	2	1	0	0	0	0	0	0	4	0	2	0	0	10	0	10	3	0	3	0	4	1	3	3	1	2	1	0	3	0	2	0	1	3	1	5	1	0	2	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	11	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	2	0	0	0	0	1	3	1	1	0	1	0	0	0	0	5	0	0	1	0	0	0	0	3	1	1	0	1	1	5	1	0	1	2	0	"NPB2013"	2077	11425	6057	3107	9164	0.802100656455142	"0"	"NPB13_010_TU"	2078	2671	27153	24482	0.9016	94	10	"TX"	"M"	"MTX"	"4L"	"n"	0	0
"25"	"NPB13_011_CD"	17	1188	660	0	1794	39	0	386	2	0	0	341	0	6	230	0	0	0	5401	13	0	0	0	3243	0	0	0	0	46	61	0	0	0	0	1	0	3	15	1	0	0	978	0	0	1	420	5	9	1	0	0	0	3	5	0	0	0	0	27	0	56	0	0	0	2	3	2	0	0	13	7	9	19	10	0	0	0	4	0	26	0	1	1	0	0	0	4	0	6	0	16	0	0	0	0	1	10	0	0	37	2	3	0	0	0	0	0	0	0	0	67	0	0	0	2	0	0	0	0	9	1	0	4	13	0	3	1	3	2	0	2	0	2	2	0	2	0	0	0	0	0	0	0	1	3	25	1	1	0	447	0	1	2	2	0	"NPB2013"	15724	19051	931	13	944	0.0495512046611726	"0"	"NPB13_011_CD"	15726	33190	58348	25158	0.4312	328	11	"C"	"SA"	"SAC"	"4L"	"y"	1	1
"26"	"NPB13_011_CU"	682	271	381	0	14	0	0	6	50	330	0	69	0	5	35	35	0	0	22	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	1686	0	0	2	0	24	0	7	0	0	12	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	6	0	9	1	9	0	3	0	0	0	2	0	4	0	1	4	15	0	1	3	11	6	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	7	0	2	0	13	1	0	1	7	0	0	0	5	0	0	1	0	8	11	2	1	1	0	0	0	2	2	4	5	1	0	3	0	1	0	0	2	2	0	0	0	1	0	7	1	2	0	0	"NPB2013"	3830	13476	2739	6384	9123	0.676981300089047	"0"	"NPB13_011_CU"	3832	5141	51449	46308	0.9001	141	11	"C"	"SA"	"SAC"	"4L"	"n"	0	0
"27"	"NPB13_011_TD"	53	552	2851	0	376	0	0	375	0	0	0	104	0	1	103	0	0	0	97	0	0	0	0	44	0	0	0	0	5	11	0	0	0	0	0	0	1	4	0	0	0	50	0	0	0	408	0	0	0	0	0	0	0	5	0	0	0	0	4	0	8	0	0	1	0	39	6	0	0	2	10	5	0	1	0	1	0	2	0	0	0	0	1	0	0	0	1	0	5	0	5	0	0	1	2	1	0	0	0	2	2	25	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	28	2	0	13	0	0	18	0	15	0	0	4	0	16	14	0	16	0	0	9	0	0	0	0	13	17	1	0	1	0	19	1	0	13	7	4	"NPB2013"	5390	10884	3917	55	3972	0.364939360529217	"0"	"NPB13_011_TD"	5412	7523	50784	43261	0.8519	289	11	"TX"	"SA"	"SATX"	"4L"	"y"	1	1
"28"	"NPB13_011_TU"	586	26	160	0	2	2	0	1	0	4	0	7	0	0	29	17	0	0	9	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	4	0	4	0	0	5	1	0	1	0	0	0	5	0	1	1	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	2	0	"NPB2013"	929	11294	3315	6963	10278	0.910040729590933	"0"	"NPB13_011_TU"	930	1119	59246	58127	0.9811	78	11	"TX"	"SA"	"SATX"	"4L"	"n"	0	0
"29"	"NPB13_012_CD"	0	9484	1635	0	2	1	0	100	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	68	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	51	29	39	0	63	0	0	0	46	0	0	0	36	46	0	0	0	42	0	26	0	7	0	0	0	0	0	0	0	0	0	39	15	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	25	35	0	11	7	0	13	7	7	0	0	14	0	10	9	0	9	0	0	7	0	0	0	0	8	9	9	0	20	0	0	0	0	7	6	30	"NPB2013"	12144	31651	18919	139	19058	0.602129474582162	"0"	"NPB13_012_CD"	12153	13656	61345	47689	0.7774	104	12	"C"	"JA"	"JAC"	"4L"	"y"	1	1
"30"	"NPB13_012_CU"	5	467	66	0	5	0	0	5	0	0	3	0	0	0	21	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	6	2	1	0	1	0	0	0	5	0	0	0	1	1	0	0	0	1	0	2	0	0	0	134	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	5	"NPB2013"	780	13955	3499	9321	12820	0.918667144392691	"0"	"NPB13_012_CU"	780	1412	62781	61369	0.9775	87	12	"C"	"JA"	"JAC"	"4L"	"n"	0	0
"31"	"NPB13_012_TD"	62	19086	247	0	5	38	0	537	0	0	0	201	0	0	50	2	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0	0	0	0	0	0	2	190	0	0	0	72	0	0	0	7	1	16	0	0	1	0	12	124	0	0	0	0	4	0	0	0	0	0	16	6	7	0	0	102	62	127	0	83	0	0	0	81	3	1	0	74	89	0	0	0	77	0	78	0	62	0	0	0	0	0	0	0	0	0	64	1	0	0	0	0	0	0	0	0	3	0	0	0	32	0	0	0	0	6	49	0	1	16	0	0	11	1	0	0	25	0	3	1	0	0	0	0	1	0	0	0	0	0	0	15	0	42	0	0	0	0	1	2	83	"NPB2013"	21906	23016	400	38	438	0.0190302398331595	"0"	"NPB13_012_TD"	21908	31028	72551	41523	0.5723	190	12	"TX"	"JA"	"JATX"	"4L"	"y"	1	1
"32"	"NPB13_012_TU"	118	9868	211	0	30	11	1	49	2	1125	0	21	0	9	264	3	0	0	51	0	0	0	0	81	2	0	0	0	18	37	0	0	0	0	12	0	37	90	0	0	0	6	0	0	2	12	33	0	0	1	0	0	1	82	0	3	0	0	86	0	3	1	0	1	312	5	2	0	0	57	25	95	1	49	0	0	0	54	0	3	2	49	50	64	0	0	44	0	47	0	8	0	3	0	2	50	0	10	0	1	39	4	0	0	0	0	0	0	0	0	1	45	0	0	24	1	0	0	1	0	27	0	1	8	36	2	6	2	0	0	16	0	2	2	13	0	0	0	1	0	0	0	0	1	5	9	46	32	0	2	0	0	1	2	37	"NPB2013"	13570	21014	1899	4517	6416	0.305320262682022	"0"	"NPB13_012_TU"	13571	17735	58649	40914	0.6976	201	12	"TX"	"JA"	"JATX"	"4L"	"n"	0	0
"33"	"NPB13_013_TU"	10	3588	1940	0	1176	0	0	118	0	0	0	59	0	27	6	0	0	0	483	1	0	0	0	6157	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	64	0	0	0	28	0	0	0	0	0	0	0	23	0	0	0	0	6	0	0	0	0	0	0	35	0	0	0	22	19	10	0	13	0	0	0	14	0	2	0	16	14	0	0	0	14	1	15	0	6	0	0	0	0	2	0	0	0	5	13	18	0	1	0	0	0	0	0	0	11	0	0	0	10	0	0	0	0	13	12	0	19	29	0	12	6	16	0	0	12	0	7	10	0	11	0	0	12	0	0	0	0	15	15	2	0	8	0	4	0	0	13	9	2	"NPB2013"	14205	24384	5100	4010	9110	0.373605643044619	"0"	"NPB13_013_TU"	14218	15835	58732	42897	0.7304	146	13	"TX"	"SA"	"SATX"	"4L"	"n"	0	0
"34"	"NPB13_015_CD"	222	8276	124	0	13	31	0	119	14	0	1	0	2	0	15	8	0	0	285	7	5	0	0	19	5	0	0	0	0	1	0	0	0	0	4	0	0	105	0	0	0	5	0	0	0	7	13	13	0	0	28	0	18	40	0	4	0	0	1	0	24	0	0	0	0	2	16	0	0	44	9	16	1	28	0	0	0	28	1	5	0	35	29	2	1	0	27	3	27	0	6	0	0	1	6	1	1	0	0	0	18	2	2	0	0	0	0	0	0	0	14	0	0	0	17	0	1	0	0	2	15	0	0	4	0	0	74	1	1	0	10	0	0	0	7	0	1	0	3	0	0	0	0	0	1	8	1	21	0	20	0	1	1	0	4	"NPB2013"	9927	11163	741	12	753	0.0674549852190271	"0"	"NPB13_015_CD"	9927	13609	25406	11797	0.4643	161	15	"C"	"M"	"MC"	"4L"	"y"	1	1
"35"	"NPB13_015_CU"	194	129	35	0	24	16	17	13	0	1	0	160	2	0	30	15	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	12	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	38	0	3	1	0	2	0	2	0	1	0	0	0	4	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	"NPB2013"	747	6419	2685	2899	5584	0.869917432621904	"0"	"NPB13_015_CU"	747	1003	20567	19564	0.9512	62	15	"C"	"M"	"MC"	"4L"	"n"	0	0
"36"	"NPB13_015_TD"	165	1775	1	0	144	63	1	388	5	4	2	48	102	0	1	4	0	0	29	6	5	0	0	44	3	0	0	0	0	0	0	0	0	0	0	0	0	32	0	2	0	31	0	1	0	17	5	18	0	0	18	0	17	7	3	1	0	0	0	0	8	0	0	2	4	0	10	0	0	8	5	7	9	8	1	0	0	10	0	15	0	9	5	3	2	0	0	16	2	0	4	1	0	2	8	12	10	0	0	7	7	0	0	0	0	0	0	9	6	1	7	0	0	0	8	0	0	1	2	0	4	0	0	2	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	1	0	0	0	9	0	2	0	0	0	0	0	0	6	"NPB2013"	3183	16030	12459	17	12476	0.778290704928259	"0"	"NPB13_015_TD"	3183	4632	29808	25176	0.8446	186	15	"TX"	"M"	"MTX"	"4L"	"y"	1	1
"37"	"NPB13_015_TU"	28	972	45	0	0	6	0	2	1	0	0	0	11	0	0	2	0	0	3	2	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	1	1	0	3	0	0	0	8	0	0	0	6	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	"NPB2013"	1149	1281	81	17	98	0.0765027322404372	"0"	"NPB13_015_TU"	1149	1449	19482	18033	0.9256	38	15	"TX"	"M"	"MTX"	"4L"	"n"	0	0
"38"	"NPB13_016_CD"	82	6202	617	0	90	10	0	79	4	0	0	13	149	5	7	6	0	0	4	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	3	0	0	66	0	2	0	7	0	0	0	0	0	0	0	1	0	0	2	43	0	1	0	0	0	0	0	0	0	1	0	14	5	0	0	21	13	12	0	27	1	1	0	27	2	0	0	30	24	1	0	0	33	0	20	0	5	0	0	2	9	0	0	0	0	5	23	7	0	0	0	0	0	0	0	0	3	0	0	0	18	0	0	0	0	4	14	0	3	3	0	3	43	5	0	0	13	0	7	3	1	5	1	0	3	0	0	0	0	3	4	7	0	12	1	1	0	0	1	1	3	"NPB2013"	7842	10428	2102	198	2300	0.220560030686613	"0"	"NPB13_016_CD"	7848	9645	24853	15208	0.6119	119	16	"C"	"M"	"MC"	NA	"y"	1	1
"39"	"NPB13_017_CD"	935	409	1	0	1	6	0	30	4	8	1	0	12	0	0	47	0	0	5	0	0	0	0	2	17	1	0	0	0	0	0	0	0	0	24	0	0	8	0	0	0	1	0	0	6	0	0	0	0	0	0	0	1	2	0	8	0	0	0	0	0	2	0	4	0	0	4	2	0	4	1	1	0	3	1	3	0	3	5	0	1	1	2	0	1	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	"NPB2013"	1593	11579	9851	24	9875	0.852837032558943	"0"	"NPB13_017_CD"	1593	2169	13859	11690	0.8435	65	17	"C"	"JA"	"JAC"	"3L"	"y"	1	1
"40"	"NPB13_017_CU"	57	56	1	1	0	3	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	"NPB2013"	161	9923	7156	2572	9728	0.980348684873526	"0"	"NPB13_017_CU"	161	304	33372	33068	0.9909	45	17	"C"	"JA"	"JAC"	"3L"	"n"	0	0
"41"	"NPB13_017_TD"	145	514	4	0	0	0	0	1	0	9	0	0	0	1	0	9	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	10	5	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	2	0	3	0	0	1	2	4	0	4	0	0	0	2	0	0	0	4	2	1	0	0	3	0	3	0	1	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	8	7	2	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"NPB2013"	785	16714	15105	493	15598	0.933229627856886	"0"	"NPB13_017_TD"	785	1384	29418	28034	0.953	78	17	"TX"	"JA"	"JATX"	"3L"	"y"	1	1
"42"	"NPB13_017_TU"	45	163	12	0	1	2	0	3	0	0	0	0	1	0	14	3	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"NPB2013"	274	9770	6370	3055	9425	0.964687819856704	"0"	"NPB13_017_TU"	274	451	23365	22914	0.9807	55	17	"TX"	"JA"	"JATX"	"4L"	"n"	0	0
"43"	"NPB13_018_CU"	0	527	6	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	4	0	0	0	4	0	12	0	3	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	"NPB2013"	590	12732	11144	961	12105	0.950754005655042	"0"	"NPB13_018_CU"	590	752	19470	18718	0.9614	34	18	"C"	"M"	"MC"	"4L"	"n"	0	0
"44"	"NPB13_018_TD"	1	9	623	0	0	0	0	0	0	0	0	2	0	0	1131	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	0	2	0	6	0	0	0	0	1	4	0	3	0	0	5	0	0	0	0	2	4	0	8	0	0	0	0	0	4	7	0	"NPB2013"	1857	4137	1006	87	1093	0.264201111916848	"0"	"NPB13_018_TD"	1859	5086	27125	22039	0.8125	230	18	"TX"	"M"	"MTX"	"1L"	"y"	1	1
"45"	"NPB13_018_TU"	5	2220	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	6	0	7	0	0	0	6	0	0	0	7	14	0	0	0	8	0	12	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	"NPB2013"	2395	8519	1446	4554	6000	0.704308017372931	"0"	"NPB13_018_TU"	2395	3059	28158	25099	0.8914	49	18	"TX"	"M"	"MTX"	"4L"	"n"	0	0
"46"	"NPB13_019_CD"	223	3751	10	0	14	10	0	74	1	1	0	0	5	0	2	12	0	0	0	0	1	0	0	4	4	0	0	0	0	0	0	1	0	0	34	0	0	37	0	0	0	3	0	0	0	24	1	2	0	0	0	0	6	28	0	4	1	0	1	0	1	0	0	2	0	0	8	1	0	26	11	15	0	17	0	1	0	20	3	4	0	11	12	0	3	0	20	0	24	0	0	0	2	0	1	0	0	0	0	0	6	0	2	0	0	0	0	0	0	3	1	0	1	0	9	1	0	0	0	0	11	0	0	0	0	1	36	0	0	0	15	0	0	0	9	0	0	0	0	0	1	0	0	0	0	3	0	5	0	0	0	0	0	0	1	"NPB2013"	4541	21648	16660	193	16853	0.7785014781966	"0"	"NPB13_019_CD"	4541	6165	32110	25945	0.808	102	19	"C"	"JA"	"JAC"	"4L"	"y"	1	1
"47"	"NPB13_019_CU"	92	5636	14	0	24	3	0	130	0	0	0	2	54	3	8	6	0	0	3	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	9	0	0	75	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	35	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	26	19	28	0	28	0	0	0	23	1	8	22	29	30	0	0	0	26	4	26	0	5	0	4	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	13	0	0	65	0	0	4	0	1	0	15	5	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	3	"NPB2013"	6547	11732	1599	3280	4879	0.415871121718377	"0"	"NPB13_019_CU"	6548	8519	37692	29173	0.774	105	19	"C"	"JA"	"JAC"	"4L"	"n"	0	0
"48"	"NPB13_019_TD"	404	1431	49	0	564	437	3	448	20	11	0	176	8195	0	178	28	1	0	242	29	6	0	0	625	14	0	0	0	1651	159	0	2	0	0	49	0	1	19	0	1	0	169	0	0	147	106	505	67	0	0	258	0	39	8	0	4	3	0	2381	0	209	0	0	3	37	0	5	5	0	4	5	5	35	4	0	0	0	9	1	87	0	6	4	19	4	0	7	135	7	0	24	1	0	3	125	7	20	91	0	25	7	0	2	0	0	0	1	52	6	1	19	0	0	0	5	0	8	6	15	0	1	0	0	1	0	0	13	0	1	0	9	0	0	0	1	0	0	0	0	0	0	3	0	0	0	12	9	0	0	17	2	0	0	0	0	"NPB2013"	19508	25624	107	15	122	0.00476116141117702	"0"	"NPB13_019_TD"	19508	46312	66402	20090	0.3026	1204	19	"TX"	"JA"	"JATX"	"4L"	"y"	1	1
