sample,sample_mass,plot_num,sub_plot_tx,sp_cond,plot_cond,tx_full,herb_dmg,stem_tx
NPB13_009_TD,0.0938,9,TX,MOCK,M,MTX,1,MC
NPB13_012_TU,0.0771,12,TX,JA,JA,JATX,0,JATX
NPB13_038_CU,0.0609,38,C,MOCK,JA,JAC,0,MC
NPB13_013_TU,0.0966,13,TX,SA,SA,SATX,0,SATX
NPB13_021_TD,0.0872,21,TX,SA,SA,SATX,1,SATX
NPB13_038_CD,0.0935,38,C,MOCK,JA,JAC,1,MC
NPB13_057_CD,0.1057,57,C,MOCK,M,MC,1,MC
NPB13_011_CD,0.0852,11,C,MOCK,SA,SAC,1,MC
NPB13_048_CD,0.0985,48,C,MOCK,SA,SAC,1,MC
NPB13_001_TD,0.111,1,TX,JA,JA,JATX,1,JATX
NPB13_030_CD,0.0936,30,C,MOCK,SA,SAC,1,MC
NPB13_037_CD,0.0816,37,C,MOCK,SA,SAC,1,MC
NPB13_019_TD,0.0806,19,TX,JA,JA,JATX,1,JATX
NPB13_050_TD,0.062,50,TX,MOCK,M,MTX,1,MC
NPB13_012_TD,0.0903,12,TX,JA,JA,JATX,1,JATX
