,samples,Sphingomonas1,Pseudomonas1,Caloribacterium1,Acetobacteraceae1,Pseudomonas2,Pseudomonas3,Massilia1,Pseudomonas4,Massilia2,Sphingomonas2,Xanthomonas,Pseudomonas5,Duganella1,Microbacteriaceae2,Microbacteriaceae1,Sphingomonas3,Geobacillus,Clavibacter,Pseudomonas6,Massilia3,Pedobacter1,Acetobacteraceae2,Anoxybacillus,Pseudomonas7,Sphingomonas4,Rhizobium1,Pseudaminobacter,Hyphomicrobium,Chryseobacterium1,Chryseobacterium2,Pedobacter2,Methylobacterium1,Planctomicrobium,Microbacteriaceae3,Sphingomonas5,Gaetbulimicrobium1,Microbacteriaceae4,Pseudomonas8,Gaetbulimicrobium2,Aureimonas,Sphingomonadaceae,Pseudomonas9,Puniceicoccus1,Massilia4,Polaromonas,Pseudomonas10,Janthinobacterium,Pseudomonas11,Acinetobacter,Pseudomonas12,Neorhizobium,Acetobacteraceae3,Pseudomonas13,Pseudomonas14,Methylobacterium2,Sphingomonas6,Rhodococcus,Escherichia,Chryseobacterium3,Puniceicoccus2,Flavobacterium,Sphingomonas7,Hymenobacter1,Sphingomonas8,Pedobacter3,Caloribacterium2,Sphingomonas9,Sphingomonas11,Persicirhabdus,Pseudomonas15,Pseudomonas29,Pseudomonas21,Pseudomonas24,Pseudomonas16,Massilia5,Sphingomonas10,Arthrobacter,Pseudomonas17,Sphingomonas12,Pseudomonas20,Comamonas,Pseudomonas19,Pseudomonas18,Brevundimonas,Sphingomonas13,Hymenobacter2,Pseudomonas22,Duganella2,Pseudomonas23,Hymenobacter3,Pseudomonas25,Rhizobium2,Staphylococcus,Sphingomonas14,Pseudomonas26,Devosia,Pseudomonas30,Pedobacter4,Acetobacteraceae4,Pseudomonas27,Pseudomonas28,Thermoproteus,Sphingomonas15,Lactococcus,Enterococcus,Sanguibacter,Ramlibacter1,Rhizobium3,Pedobacter5,Sphingomonas17,Pseudomonas35,Sphingomonas16,Sphingomonas18,Hymenobacter4,Pseudomonas32,Sphingomonas19,Epilithonimonas,Ramlibacter2,Sphingomonas21,Caloribacterium3,Pseudomonas31,Paenibacillus,Caloribacterium4,Pseudomonas33,Sphingomonas20,Caloribacterium5,Pseudomonas34,Caloribacterium6,Sphingomonas22,Methylobacterium3,Pseudomonas36,Cloacibacterium,Caloribacterium7,Caloribacterium8,Pseudomonas37,Caloribacterium9,Massilia6,Massilia7,Caloribacterium10,Massilia8,Sphingomonas23,Sphingomonas24,Methylobacterium4,Caloribacterium11,Caloribacterium12,Pseudomonas39,Microbacteriaceae5,Pseudomonas38,Sphingomonas25,Pseudomonas40,Sphingomonas26,Sphingomonas27,Phycisphaera,Caloribacterium13,Pseudomonas41,dataset.x,ROW_TOTALS,total,mtDNA,cpDNA,contam,prop_c,controls,sample_id,PNA,exclude,PlotNum,SubPlotTx,sp.id,PlotCond,sp.cond,SubPlot,txfull,LeafPos,SampType,DmgB,DmgC,DmgM,DmgS,herb.dmg,NDmgTypes,LeafCFU,logLeafCFU,LeafMTs
36,EL12_061,6,246,560,0,0,29,739,0,1,8,0,0,1,97,0,0,1,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,12,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,2,5,0,0,8,0,2,0,0,0,0,7,2,0,5,0,10,1,14,0,0,2,3,1,0,0,1,0,0,0,0,5,1,0,EL2012,1927,10069,3095,4902,7997,0.794219883,0,EL12_061,1,0,36,C,36_C,M,MOCK,C1,MC,4,2,y,n,n,n,1,1,19774,4.296091881,6
37,EL12_081,1,28,74,0,5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,534,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,2201,5757,995,1625,2620,0.455098141,0,EL12_081,1,0,10,C,10_C,M,MOCK,D1,MC,4,2,y,n,n,n,1,1,1786,3.251927094,4
38,EL12_082,1741,112,23,0,0,11,108,0,0,2,0,7,26,23,0,77,0,0,0,3,0,0,0,0,43,0,0,0,0,0,0,97,0,0,1,0,0,0,0,33,4,0,0,0,6,0,0,0,0,7,0,0,0,0,22,13,13,0,0,0,0,38,0,10,13,0,0,6,0,1,0,0,0,1,0,15,0,1,6,0,1,1,1,2,5,8,0,0,0,2,0,0,0,10,1,0,1,0,0,0,1,1,11,0,0,0,43,0,5,4,0,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,27,0,1,0,0,0,0,0,2,0,2,5,2,0,0,3,0,0,0,6,0,0,3,0,1,0,EL2012,2627,18441,14684,949,15633,0.8477306,PNA,EL12_082,1,0,10,C,10_C,M,MOCK,C1,MC,1,2,y,n,n,n,1,1,142959,5.155211577,5
39,EL12_083,1577,4080,94,0,0,1611,571,25,53,14,0,28,370,53,0,59,0,0,0,244,0,0,1,0,40,0,0,5,0,0,0,10,0,0,10,0,0,66,0,2,3,3,0,2,0,0,0,59,0,213,0,0,58,42,0,6,0,3,0,0,0,10,0,13,0,3,14,7,5,20,16,34,1,24,3,14,0,19,8,0,11,25,15,0,1,0,20,0,17,0,5,0,0,5,17,0,7,0,0,0,13,4,4,3,0,0,26,0,0,7,1,0,5,0,14,9,0,238,0,1,13,215,2,1,0,0,0,0,4,16,7,3,1,2,3,0,0,12,0,8,1,0,2,0,2,5,0,9,3,0,4,3,0,0,1,EL2012,10258,14571,1850,1416,3266,0.224143847,PNA,EL12_083,1,0,10,C,10_C,M,MOCK,B1,MC,5,2,y,n,n,n,1,1,127674,5.106103021,4
40,EL12_084,227,1963,22,0,10,0,60,8,0,0,0,0,299,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,1,0,5,0,1,0,0,0,11,9,6,0,4,0,1,0,10,1,0,1,14,4,0,3,0,8,0,5,0,0,0,0,0,4,0,0,0,0,0,4,1,0,2,0,0,2,0,0,3,1,0,1,0,4,1,0,0,0,1,5,0,1,0,0,0,12,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,12,0,0,0,0,EL2012,2810,9115,4541,1641,6182,0.67822271,0,EL12_084,1,0,10,C,10_C,M,MOCK,A1,MC,12,Half Leaf,y,n,n,n,1,1,82584,4.916897332,4
41,EL12_104,1375,17,30,0,0,90,0,0,1,26,4,0,23,3,1,34,0,0,0,0,0,0,0,0,23,0,0,1,0,1,0,151,0,0,89,0,0,0,0,25,24,0,0,0,15,0,0,0,0,0,0,0,0,1,117,6,107,0,0,0,0,4,44,12,0,1,0,4,14,0,0,0,0,0,0,8,0,0,2,0,13,0,0,0,15,33,0,0,0,104,0,0,0,1,0,0,1,0,0,0,4,0,1,21,0,0,0,0,0,4,0,1,5,16,0,5,0,0,0,0,0,0,0,0,1,1,0,1,3,88,0,0,1,0,0,0,0,0,0,0,2,64,0,0,0,0,0,0,4,0,2,4,0,0,0,EL2012,2648,16429,8483,4965,13448,0.818552559,0,EL12_104,1,0,11,C,11_C,M,MOCK,B1,MC,1,Half Leaf,yn,n,n,n,0,0,478815,5.680167642,2
42,EL12_105,5083,2111,35,1,0,1485,1302,11,1765,0,0,0,208,28,0,199,0,0,0,54,1,0,0,0,95,0,0,13,0,0,0,0,0,1,0,0,1,27,0,5,0,0,0,1,0,0,0,31,0,354,0,0,35,21,0,30,0,0,0,0,0,18,0,29,0,0,32,21,0,9,6,9,0,19,28,42,0,12,18,0,0,18,8,0,18,0,10,0,10,12,2,0,2,23,20,0,1,0,0,0,4,0,23,9,0,0,5,0,0,21,0,0,14,0,7,17,0,0,16,0,8,0,0,26,0,1,1,0,19,0,3,0,0,0,11,0,35,18,0,17,18,0,1,1,0,1,0,7,7,0,7,11,0,3,0,EL2012,13575,22454,3027,4975,8002,0.356373029,0,EL12_105,1,0,11,C,11_C,M,MOCK,C1,MC,2,Half Leaf,y,n,n,y,1,2,101396,5.006021748,6
43,EL12_106,46,13,45,0,0,421,57,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,647,9531,3993,4840,8833,0.926765292,0,EL12_106,1,0,11,C,11_C,M,MOCK,D1,MC,6,Frags,y,n,n,n,1,1,1730,3.237949506,1
44,EL12_199,1765,19874,221,0,0,0,94,65,76,2,0,0,0,4,0,56,0,0,0,4,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,162,0,17,0,0,0,0,0,5,0,16,0,5,110,3,7,124,72,83,0,100,11,10,0,104,6,0,0,104,107,0,7,1,63,0,78,0,9,0,0,6,10,0,0,0,0,0,52,0,4,0,0,0,0,0,0,4,0,1,5,2,54,0,1,0,3,2,46,0,1,16,0,0,9,0,0,0,45,0,0,0,42,3,3,0,0,1,5,0,0,1,1,13,0,21,5,0,2,2,1,2,85,EL2012,24079,25940,505,482,987,0.038049345,PNA,EL12_199,1,0,23,C,23_C,M,MOCK,C1,MC,7,2,y,y,y,y,1,4,588480,5.769731997,2
45,EL12_200,5196,14004,585,6,1,16,18,37,23,14,0,0,5,12,2,214,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,7,0,0,0,0,3,149,0,0,1,0,0,1,2,0,0,4,2,0,0,0,5,108,0,44,52,0,0,0,0,23,9,42,0,9,126,21,23,84,32,48,0,60,0,23,0,86,22,0,3,70,55,0,23,5,48,0,67,7,7,0,0,15,1,0,0,0,0,0,63,2,9,0,0,1,0,0,9,8,0,0,14,183,30,17,0,0,0,4,44,0,3,8,0,3,3,6,12,0,29,7,1,6,43,2,0,0,4,0,14,0,2,3,2,12,0,27,6,0,20,4,2,1,54,EL2012,22195,25673,2105,463,2568,0.100027266,PNA,EL12_200,1,0,23,C,23_C,M,MOCK,B1,MC,8,2,y,n,y,y,1,3,10915,4.038032654,2
46,EL12_204,5123,1295,348,0,1,261,243,2,211,10,461,2,17,16,87,229,0,0,0,97,0,0,0,0,104,0,0,0,3,0,0,0,0,4,8,0,17,24,0,0,0,0,0,2,14,0,0,31,0,0,0,0,28,15,0,30,13,0,4,0,0,27,0,27,6,3,42,18,9,9,2,13,0,12,11,17,0,10,23,0,0,9,6,2,20,2,3,0,5,2,0,0,0,15,11,1,4,6,0,0,3,2,39,0,0,0,0,0,6,12,0,0,16,5,6,12,0,0,18,3,1,0,2,1,0,2,1,4,16,0,0,0,3,1,23,1,3,5,6,2,7,0,0,1,1,1,2,3,10,0,12,11,1,2,0,EL2012,9259,11027,657,457,1114,0.101024757,PNA,EL12_204,1,0,23,C,23_C,M,MOCK,D1,MC,2,2,y,y,n,y,1,3,11083333,7.044670395,1
47,EL12_205,198,6,38,0,0,0,61,0,24,1,0,0,171,2,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,2,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EL2012,550,7588,2022,4946,6968,0.91829204,0,EL12_205,1,0,18,C,18_C,M,MOCK,A1,MC,4,2,y,n,n,y,1,2,3926,3.593981495,5
48,EL12_221,27,10,137,0,0,355,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,EL2012,733,7840,1269,5790,7059,0.900382653,0,EL12_221,1,0,18,C,18_C,M,MOCK,C1,MC,6,2,y,n,n,n,1,1,1969,3.294190571,2
49,EL12_222,5,0,38,0,0,0,519,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EL2012,645,6694,788,4834,5622,0.839856588,0,EL12_222,1,0,18,C,18_C,M,MOCK,B1,MC,10,Half Leaf,y,n,n,n,1,1,36796,4.565800551,4
50,EL12_070,1516,10,34,0,0,0,968,0,70,7,0,0,6,8,0,70,0,1,0,34,0,0,0,0,57,1,339,68,8,0,2,1,0,0,8,0,0,0,0,6,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,10,6,2,0,0,0,5,6,17,0,1,0,9,2,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,8,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,12,0,2,4,0,0,6,0,5,8,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,3,12,0,12,1,0,0,1,0,0,0,0,1,0,1,3,0,0,0,EL2012,3419,19094,15132,304,15436,0.808421494,PNA,EL12_070,1,0,36,TX,36_TX,M,MOCK,A1,MTX,1,2,n,y,n,n,1,1,51244,4.70964256,2
51,EL12_097,37,4856,13,0,0,8,3,17,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,22,10,13,0,32,0,0,0,25,0,0,0,30,35,0,0,0,25,0,27,0,2,0,0,0,1,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,1,0,0,2,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,1,EL2012,5329,13309,2182,5523,7705,0.57893155,0,EL12_097,1,0,10,TX,10_TX,M,MOCK,B1,MTX,12,2,n,n,n,n,0,0,41932,4.62254814,2
