"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium2"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"
"18"	1262	348	0	0	1036	59	1129	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	5	0	0	0	0	11	0	6	12	37	1	0	0	2	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	21
"19"	7	10	0	0	1	1	15	11	0	4	6	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	223	6	0	0	0	62	24	1	0	0	171	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	3	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"21"	216	28	0	0	51	45	0	0	0	110	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	29	12	0	0	475	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"23"	56	10	0	0	0	12	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"24"	1638	3661	0	0	1	222	100	0	0	9	13	27	0	0	0	0	0	0	0	0	0	2	15	7	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	17	0	3	0	0	28	0	161	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
"25"	371	232	0	0	96	193	0	0	0	0	879	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	4	0	0	12	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
"26"	139	2	0	1	143	1	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	176	117	1	0	0	1
"27"	52	124	0	0	49	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	0	2	0	0	0
"28"	2121	48	0	0	17	1286	33	7	0	0	0	13	4	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	58	0	4	0	0	0	2	0	0	547	0	0	0	0	0	0	0	0	0	0	0	68	0	0	3	0	0	0	0
"29"	200	75	0	0	11	23	1	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	2
"30"	733	1559	0	0	124	174	325	0	0	0	5	6	13	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	1	74	0	0	4	0	0	0	0	0	0	0	0	3	0	4	0	15	24	0	35	0	14	6	0	0	0	21	0	0	0	7	10	0	0	0	0	2	0	7
"31"	2902	210	0	0	11	126	950	27	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	0	0	0	0	0	0	2	0	0	26	0	5	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	12	0	0	11
"32"	268	2099	0	11	0	60	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	8
