"samples"	"is.in_sample_prep_sheet"	"ROW_TOTALS"	"total"	"contam"	"prop_c"	"PlotNum"	"PlotCond"	"SubPlot"	"LeafPos"	"sample_mass"	"herb.dmg"	"LeafCFU"	"logLeafCFU"	"stem.tx"	"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"	"ROW_TOTALS_1perc"
"12"	"EL12_047"	1	580	6003	5423	0.880357143	14	"JA"	"D1"	8	0.0465	0	0	0	"MC"	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	580
"13"	"EL12_054"	1	225	7228	7003	0.941389972	14	"JA"	"D1"	8	0.03244	0	0	0	"JATX"	5	4	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	32	0	0	10	0	0	6	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	21	197
"14"	"EL12_176"	1	3472	10666	7194	0.645665051	20	"SA"	"B1"	8	0.02617	0	0	0	"SATX"	31	17	0	3	0	47	10	1	0	0	0	7	19	0	1	0	1	0	0	0	10	0	11	0	0	0	6	8	0	0	0	0	0	0	0	0	10	2	0	3	0	0	0	0	0	2	0	16	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	219
"15"	"EL12_067"	1	331	7482	7151	0.945774368	35	"JA"	"D1"	8	0.03561	0	0	0	"MC"	0	7	0	0	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	42	331
"16"	"EL12_144"	1	507	12010	11503	0.943332787	13	"M"	"B1"	NA	0.0358	0	NA	NA	"MC"	1	115	0	9	74	0	0	145	0	25	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	71	0	0	0	0	0	3	0	2	0	27	0	0	0	0	0	0	0	0	16	0	0	0	499
"17"	"EL12_096"	1	563	10711	10148	0.89980493	10	"M"	"A1"	7	0.04148	1	0	0	"MC"	3	45	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	283	175	0	0	0	16	533
"18"	"EL12_042"	1	201	5813	5612	0.953448862	31	"SA"	"B1"	7	0.0413	0	0	0	"MC"	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	199
"19"	"EL12_130"	1	142	10040	9898	0.982821964	16	"JA"	"D1"	6	0.03641	1	0	0	"JATX"	21	14	0	1	0	20	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	13	0	0	13	117
"20"	"EL12_113"	1	2182	7067	4885	0.679415855	15	"SA"	"B1"	NA	0.03552	0	NA	NA	"MC"	0	26	0	1	29	0	0	0	0	0	0	331	0	0	1766	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	9	0	8	0	0	4	2180
"21"	"EL12_080"	1	716	6595	5879	0.87264361	4	"SA"	"A1"	5	0.01696	1	0	0	"MC"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	51	0	0	26	671
"22"	"EL12_063"	1	7632	9838	2206	0.210335622	35	"JA"	"B1"	4	0.0302	1	0	0	"MC"	1393	262	0	26	0	0	0	2	0	108	0	374	3237	0	70	216	1	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	2	0	0	6043
"23"	"EL12_059"	1	145	10977	10832	0.984548264	36	"M"	"D1"	4	0.03897	1	0	0	"MC"	8	2	0	0	0	1	0	2	0	0	119	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	145
"24"	"EL12_046"	1	415	6162	5747	0.911354266	31	"SA"	"C1"	3	0.03689	0	0	0	"SATX"	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	21	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	413
"25"	"EL12_081"	1	2201	4821	2620	0.543	10	"M"	"D1"	4	0.03761	1	1786.187699	3.251927094	"MC"	1	29	0	5	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1183	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	534	0	0	0	1	2120
"26"	"EL12_008"	0	5376	9849	4473	0.454	2	"JA"	"A1"	3	NA	0	271647.3073	5.434005404	"JATX"	1	5064	0	0	239	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5370
"27"	"EL12_003"	0	9261	11145	1884	0.169	2	"JA"	"C1"	5	NA	1	6614.917314	3.82052442	"MC"	0	8843	0	1	273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9223
"28"	"EL12_225"	1	3738	17332	13594	0.767545593	39	"JA"	"A1"	14	0.01133	1	NA	NA	"MC"	1394	1195	0	0	10	115	44	93	0	5	161	177	78	0	0	0	0	1	0	1	0	0	0	0	0	0	100	0	46	20	0	1	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	13	0	5	36	64	1	1	0	0	0	0	0	0	8	3	0	39	47	0	6	0	1	3682
"29"	"EL12_223"	1	826	8698	7872	0.886885985	40	"JA"	"D1"	14	0.01673	1	NA	NA	"JATX"	713	4	0	0	0	36	1	3	0	1	0	10	1	0	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	23	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	825
"30"	"EL12_010"	0	75	11954	11879	0.994	2	"JA"	"B1"	6	NA	0	1317.204301	3.11965314	"JATX"	0	63	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	75
