plot	region	condition	tx	subplot	txfull	stem.num	height	n.leaves	n.mines	n.mined.leaves	n.fruits
3	A	CTR	MOCK	3_A	CTR_MOCK	C1	24	9	2	1	0
3	A	CTR	MOCK	3_A	CTR_MOCK	C2	24	12	2	2	0
3	A	CTR	MOCK	3_A	CTR_MOCK	C3	29	10	4	3	0
3	A	CTR	MOCK	3_A	CTR_MOCK	C4	31	9	5	3	5
3	A	CTR	MOCK	3_A	CTR_MOCK	D1	38	14	4	3	13
3	A	CTR	MOCK	3_A	CTR_MOCK	D2	30	14	6	3	5
3	A	CTR	MOCK	3_A	CTR_MOCK	D3	28	8	3	1	2
3	A	CTR	MOCK	3_A	CTR_MOCK	D4	38	23	3	1	3
4	A	JA	TX	4_B	JA_TX	A1	13	9	4	3	0
4	A	JA	TX	4_B	JA_TX	A2	19	9	8	5	0
4	A	JA	TX	4_B	JA_TX	A3	27	12	7	7	8
4	A	JA	TX	4_B	JA_TX	A4	19	5	6	5	10
4	A	JA	TX	4_B	JA_TX	B1	13	8	5	5	0
4	A	JA	TX	4_B	JA_TX	B2	18	11	6	6	0
4	A	JA	TX	4_B	JA_TX	B3	17	6	6	6	0
4	A	JA	TX	4_B	JA_TX	B4	23	9	7	6	0
4	A	JA	TX	4_B	JA_TX	C1	18	9	4	4	0
4	A	JA	TX	4_B	JA_TX	C2	13	5	6	4	0
4	A	JA	TX	4_B	JA_TX	C3	17	7	4	4	0
4	A	JA	TX	4_B	JA_TX	C4	20	10	6	5	0
4	A	JA	TX	4_B	JA_TX	D1	22	11	4	4	0
4	A	JA	TX	4_B	JA_TX	D2	19	10	4	3	0
4	A	JA	TX	4_B	JA_TX	D3	19	7	6	4	0
4	A	JA	TX	4_B	JA_TX	D4	20	7	9	6	0
4	A	JA	MOCK	4_A	JA_MOCK	A1	14	9	5	5	0
4	A	JA	MOCK	4_A	JA_MOCK	A2	13	8	4	4	0
4	A	JA	MOCK	4_A	JA_MOCK	A3	13	7	5	4	0
4	A	JA	MOCK	4_A	JA_MOCK	A4	15	7	5	5	0
4	A	JA	MOCK	4_A	JA_MOCK	B1	13	7	4	3	0
4	A	JA	MOCK	4_A	JA_MOCK	B2	15	7	4	3	0
4	A	JA	MOCK	4_A	JA_MOCK	B3	14	6	3	2	0
4	A	JA	MOCK	4_A	JA_MOCK	B4	18	11	4	4	0
4	A	JA	MOCK	4_A	JA_MOCK	C1	26	11	4	4	4
4	A	JA	MOCK	4_A	JA_MOCK	C2	18	9	6	6	0
4	A	JA	MOCK	4_A	JA_MOCK	C3	18	6	5	5	0
4	A	JA	MOCK	4_A	JA_MOCK	C4	18	13	3	3	0
4	A	JA	MOCK	4_A	JA_MOCK	D1	20	8	5	5	0
4	A	JA	MOCK	4_A	JA_MOCK	D2	12	5	3	3	0
4	A	JA	MOCK	4_A	JA_MOCK	D3	14	6	5	5	0
4	A	JA	MOCK	4_A	JA_MOCK	D4	16	6	3	3	0
5	A	SA	TX	5_B	SA_TX	A1	23	7	5	5	3
5	A	SA	TX	5_B	SA_TX	A2	30	10	7	7	4
5	A	SA	TX	5_B	SA_TX	A3	33	11	10	10	1
5	A	SA	TX	5_B	SA_TX	A4	22	8	4	4	0
5	A	SA	TX	5_B	SA_TX	B1	30	8	7	7	8
5	A	SA	TX	5_B	SA_TX	B2	23	9	5	5	0
5	A	SA	TX	5_B	SA_TX	B3	34	8	8	8	11
5	A	SA	TX	5_B	SA_TX	B4	26	7	5	5	0
5	A	SA	TX	5_B	SA_TX	C1	34	10	9	9	9
5	A	SA	TX	5_B	SA_TX	C2	37	8	6	6	7
5	A	SA	TX	5_B	SA_TX	C3	30	6	5	5	9
5	A	SA	TX	5_B	SA_TX	C4	34	10	8	8	6
5	A	SA	TX	5_B	SA_TX	D1	22	8	6	6	0
5	A	SA	TX	5_B	SA_TX	D2	34	8	6	6	11
5	A	SA	TX	5_B	SA_TX	D3	38	8	8	8	13
5	A	SA	TX	5_B	SA_TX	D4	26	10	6	6	1
5	A	SA	MOCK	5_A	SA_MOCK	A1	32	9	4	4	7
5	A	SA	MOCK	5_A	SA_MOCK	A2	22	10	5	5	0
5	A	SA	MOCK	5_A	SA_MOCK	A3	32	8	7	7	8
5	A	SA	MOCK	5_A	SA_MOCK	A4	25	8	6	6	0
5	A	SA	MOCK	5_A	SA_MOCK	B1	25	7	5	5	0
5	A	SA	MOCK	5_A	SA_MOCK	B2	21	7	6	6	0
