,samples,Sphingomonas1,Pseudomonas1,Caloribacterium1,Acetobacteraceae1,Pseudomonas2,Pseudomonas3,Massilia1,Pseudomonas4,Massilia2,Sphingomonas2,Xanthomonas,Pseudomonas5,Duganella1,Microbacteriaceae2,Microbacteriaceae1,Sphingomonas3,Geobacillus,Clavibacter,Pseudomonas6,Massilia3,Pedobacter1,Acetobacteraceae2,Anoxybacillus,Pseudomonas7,Sphingomonas4,Rhizobium1,Pseudaminobacter,Hyphomicrobium,Chryseobacterium1,Chryseobacterium2,Pedobacter2,Methylobacterium1,Planctomicrobium,Microbacteriaceae3,Sphingomonas5,Gaetbulimicrobium1,Microbacteriaceae4,Pseudomonas8,Gaetbulimicrobium2,Aureimonas,Sphingomonadaceae,Pseudomonas9,Puniceicoccus1,Massilia4,Polaromonas,Pseudomonas10,Janthinobacterium,Pseudomonas11,Acinetobacter,Pseudomonas12,Neorhizobium,Acetobacteraceae3,Pseudomonas13,Pseudomonas14,Methylobacterium2,Sphingomonas6,Rhodococcus,Escherichia,Chryseobacterium3,Puniceicoccus2,Flavobacterium,Sphingomonas7,Hymenobacter1,Sphingomonas8,Pedobacter3,Caloribacterium2,Sphingomonas9,Sphingomonas11,Persicirhabdus,Pseudomonas15,Pseudomonas29,Pseudomonas21,Pseudomonas24,Pseudomonas16,Massilia5,Sphingomonas10,Arthrobacter,Pseudomonas17,Sphingomonas12,Pseudomonas20,Comamonas,Pseudomonas19,Pseudomonas18,Brevundimonas,Sphingomonas13,Hymenobacter2,Pseudomonas22,Duganella2,Pseudomonas23,Hymenobacter3,Pseudomonas25,Rhizobium2,Staphylococcus,Sphingomonas14,Pseudomonas26,Devosia,Pseudomonas30,Pedobacter4,Acetobacteraceae4,Pseudomonas27,Pseudomonas28,Thermoproteus,Sphingomonas15,Lactococcus,Enterococcus,Sanguibacter,Ramlibacter1,Rhizobium3,Pedobacter5,Sphingomonas17,Pseudomonas35,Sphingomonas16,Sphingomonas18,Hymenobacter4,Pseudomonas32,Sphingomonas19,Epilithonimonas,Ramlibacter2,Sphingomonas21,Caloribacterium3,Pseudomonas31,Paenibacillus,Caloribacterium4,Pseudomonas33,Sphingomonas20,Caloribacterium5,Pseudomonas34,Caloribacterium6,Sphingomonas22,Methylobacterium3,Pseudomonas36,Cloacibacterium,Caloribacterium7,Caloribacterium8,Pseudomonas37,Caloribacterium9,Massilia6,Massilia7,Caloribacterium10,Massilia8,Sphingomonas23,Sphingomonas24,Methylobacterium4,Caloribacterium11,Caloribacterium12,Pseudomonas39,Microbacteriaceae5,Pseudomonas38,Sphingomonas25,Pseudomonas40,Sphingomonas26,Sphingomonas27,Phycisphaera,Caloribacterium13,Pseudomonas41,dataset.x,ROW_TOTALS,total,mtDNA,cpDNA,contam,prop_c,controls,sample_id,PNA,exclude,PlotNum,SubPlotTx,sp.id,PlotCond,sp.cond,SubPlot,txfull,LeafPos,SampType,DmgB,DmgC,DmgM,DmgS,herb.dmg,NDmgTypes,LeafCFU,logLeafCFU,LeafMTs,stem.tx
89,EL12_096,2,41,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,563,11278,2435,7713,10148,0.89980493,0,EL12_096,1,0,10,TX,10_TX,M,MOCK,A1,MTX,7,2,y,n,n,n,1,1,0,0,0,MC
90,EL12_097,37,4856,13,0,0,8,3,17,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,22,10,13,0,32,0,0,0,25,0,0,0,30,35,0,0,0,25,0,27,0,2,0,0,0,1,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,1,0,0,2,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,1,EL2012,5329,13309,2182,5523,7705,0.57893155,0,EL12_097,1,0,10,TX,10_TX,M,MOCK,B1,MTX,12,2,n,n,n,n,0,0,41932.2474,4.62254814,2,MC
91,EL12_098,4201,541,3842,0,0,1,0,4940,63,0,0,63,2,323,14,166,0,18,0,37,9288,0,0,0,91,0,0,0,0,0,0,0,0,182,6,0,0,3,0,3,0,31,0,0,0,0,0,0,0,0,309,0,0,5,0,31,0,0,75,0,0,21,0,18,0,65,97,43,1,3,15,2,0,1,5,22,0,3,21,0,0,2,4,17,13,0,2,0,1,0,16,0,0,11,3,1,0,19,0,0,2,29,10,0,0,0,0,32,0,5,2,0,11,0,13,7,0,0,4,24,0,0,23,1,0,28,3,24,5,7,6,0,16,19,4,18,0,0,14,0,4,0,0,20,22,0,1,1,4,0,8,19,17,13,0,EL2012,25057,32345,5853,95,5948,0.18389241,PNA,EL12_098,1,0,10,TX,10_TX,M,MOCK,C1,MTX,8,2,y,n,y,n,1,2,43947314.47,7.642932341,3,MC
92,EL12_099,11,1,787,0,0,72,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,5,0,7,0,0,0,0,6,5,0,2,0,10,5,11,0,0,4,4,3,0,0,0,0,0,0,0,5,3,0,EL2012,1555,12222,4606,5866,10472,0.856815578,0,EL12_099,1,0,11,TX,11_TX,M,MOCK,C1,MTX,11,Whole Leaf,y,n,n,n,1,1,NA,NA,NA,MC
93,EL12_100,230,1595,237,0,0,2216,192,10,89,0,3,0,55,47,3,8,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,0,3,8,0,1,17,0,0,0,0,0,4,0,0,0,31,0,984,0,0,29,19,0,1,0,0,0,0,0,0,0,1,0,2,1,2,5,13,2,8,0,12,3,3,0,6,2,0,1,4,8,0,2,0,10,0,7,4,2,0,0,0,1,0,9,0,0,0,7,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,0,0,0,0,1,1,1,0,0,2,0,0,1,0,1,1,5,0,0,1,0,15,0,0,1,7,3,0,0,0,0,2,0,0,EL2012,5976,12687,3102,3156,6258,0.493260818,0,EL12_100,1,0,11,TX,11_TX,M,MOCK,A1,MTX,8,2,y,n,y,n,1,2,145726.5739,5.163538755,4,MC
94,EL12_101,4320,1066,30,0,14,65,24,3256,9,44,114,0,17,291,7,155,2,12,13,3,0,0,0,0,115,9,0,25,0,0,0,122,0,6,49,0,4,14,0,83,34,9,0,0,63,0,0,4,0,182,241,0,0,9,39,32,136,8,37,0,0,15,0,28,22,0,34,16,0,3,14,4,2,6,0,14,80,4,22,0,0,2,3,15,15,0,3,0,5,10,2,9,4,12,0,4,1,93,0,0,3,1,13,0,0,0,0,3,3,13,5,3,11,0,10,6,0,13,1,0,5,0,0,0,0,0,10,0,16,26,11,0,0,0,7,0,0,1,0,0,11,9,3,0,1,1,6,2,5,1,7,6,1,0,0,EL2012,11319,16275,1708,1824,3532,0.217019969,0,EL12_101,1,0,11,TX,11_TX,M,MOCK,B1,MTX,1,Half Leaf,y,n,n,n,1,1,3045570.265,6.483668624,2,MC
95,EL12_103,36,0,48,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,107,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,EL2012,354,16109,8134,7195,15329,0.951579862,0,EL12_103,1,0,11,TX,11_TX,M,MOCK,D1,MTX,10,2,y,n,n,n,1,1,338452.2532,5.52949741,4,MC
96,EL12_114,140,10,426,0,1,102,181,0,77,6,0,34,0,12,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,1,0,11,0,0,40,0,0,0,0,0,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,6,2,0,0,2,2,2,2,1,0,7,2,2,0,0,0,2,0,0,0,2,3,0,EL2012,1137,9862,5306,3225,8531,0.865037518,0,EL12_114,1,0,7,TX,7_TX,M,MOCK,C1,MTX,8,Whole Leaf,y,y,n,n,1,2,NA,NA,NA,MC
97,EL12_116,74,10,195,0,0,494,0,1,42,1,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,1,0,0,EL2012,902,16121,4536,10593,15129,0.938465356,PNA,EL12_116,1,0,7,TX,7_TX,M,MOCK,D1,MTX,10,2,y,n,n,n,1,1,0,0,0,MC
98,EL12_118,1026,0,4220,1,0,38,36,0,1,0,0,31,1,2332,0,34,0,43,728,0,0,0,0,0,34,0,0,8,0,0,0,0,0,275,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,5,0,54,5,5,0,0,0,0,0,0,0,7,22,0,5,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,28,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,27,0,0,30,0,0,37,0,29,0,0,0,0,27,23,0,21,0,0,24,0,0,0,0,19,24,0,0,0,0,2,0,5,12,16,0,EL2012,9269,15925,6099,130,6229,0.391145997,0,EL12_118,1,0,7,TX,7_TX,M,MOCK,A1,MTX,1,2,n,n,y,n,1,1,7825991.832,6.89353939,4,MC
