plot	date	time	who	condition	tx	plant	height	n.leaves	n.mines	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
27	16-Aug	16:52	AK & PTH	JA	tx	A1	35	8	4	4	4	0	2	2	0	0			
27	16-Aug	16:52	AK & PTH	JA	tx	A2	47	7	5	5	4	0			0	0			
27	16-Aug	16:52	AK & PTH	JA	tx	A3	37	11	9	9	8	0			1	0			
27	16-Aug	16:52	AK & PTH	JA	tx	A4	52	8	6	6	4	0			2	0			
27	16-Aug	16:52	AK & PTH	JA	tx	B1	51	12	11	11	7	0			7	0			
27	16-Aug	16:52	AK & PTH	JA	tx	B2	50	8	7	7	4	0	3	1	5	0			
27	16-Aug	16:52	AK & PTH	JA	tx	B3	44	10	7	7	6	0			2	0			
27	16-Aug	16:52	AK & PTH	JA	tx	B4	49	8	8	8	6	0			3	0			
27	16-Aug	16:52	AK & PTH	JA	tx	C1	59	13	12	12	13	20	4	1	6	1			
27	16-Aug	16:52	AK & PTH	JA	tx	C2	57	13	11	11	6	8			4	0			
27	16-Aug	16:52	AK & PTH	JA	tx	C3	56	11	8	8	5	6			4	0			
27	16-Aug	16:52	AK & PTH	JA	tx	C4	45	11	8	8	6	0			0	3			
27	16-Aug	16:52	AK & PTH	JA	tx	D1	51	9	8	8	6	0			4	4			
27	16-Aug	16:52	AK & PTH	JA	tx	D2	57	15	12	12	4	16	2	1	1	11			
27	16-Aug	16:52	AK & PTH	JA	tx	D3	51	11	7	7	7	3			1	6			
27	16-Aug	16:52	AK & PTH	JA	tx	D4	59	13	9	9	5	20			2	2			
27	16-Aug	16:52	AK & PTH	JA	zm	A1	54	14	10	10	4	17	1	3	2	1			
27	16-Aug	16:52	AK & PTH	JA	zm	A2	42	11	11	11	8	0			1	2			
27	16-Aug	16:52	AK & PTH	JA	zm	A3	52	8	6	6	4	6			0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	A4	60	12	8	8	10	20			0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	B1	53	9	9	9	2	0			2	4			
27	16-Aug	16:52	AK & PTH	JA	zm	B2	57	9	9	9	6	11			5	0			
27	16-Aug	16:52	AK & PTH	JA	zm	B3	44	8	7	7	4	0			4	0			
27	16-Aug	16:52	AK & PTH	JA	zm	B4	38	9	9	9	2	0	5	NA	2	0			
27	16-Aug	16:52	AK & PTH	JA	zm	C1	40	9	9	9	3	0			0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	C2	52	9	9	9	5	5			0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	C3	55	10	8	8	4	10	1	1	0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	C4	50	14	14	14	8	6			2	2			
27	16-Aug	16:52	AK & PTH	JA	zm	D1	60	8	8	8	4	19			1	2			
27	16-Aug	16:52	AK & PTH	JA	zm	D2	56	11	9	9	8	8			0	0			
27	16-Aug	16:52	AK & PTH	JA	zm	D3	59	10	8	8	4	NA	6	1	1	4			
27	16-Aug	16:52	AK & PTH	JA	zm	D4	55	10	10	10	5	13			3	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	A1	49	8	5	5	3	10	3	1	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	A2	51	10	3	3	9	22			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	A3	46	8	4	4	1	9			0	0		1	
31	16-Aug	16:05	AK & PTH	MOCK	tx	A4	51	10	2	2	3	15			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	B1	50	8	3	3	2	14	1	5	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	B2	46	11	1	1	3	8			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	B3	37	7	2	2	4	5			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	B4	46	9	3	3	3	17			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	C1	54	9	1	1	4	15			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	C2	29	5	0	0	0	0			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	C3	27	8	2	2	5	0			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	C4	49	12	3	3	3	11	2	5	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	D1	60	12	4	4	6	19	1	1	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	D2	46	11	0	0	6	13			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	D3	55	9	1	1	5	24			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	tx	D4	54	9	0	0	3	11			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	A1	43	9	0	0	4	13			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	A2	36	12	0	0	3	0			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	A3	43	8	2	2	5	11	1	1	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	A4	37	12	3	3	1	0			2	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	B1	44	9	3	3	2	17	2	4	1	1			
31	16-Aug	16:05	AK & PTH	MOCK	zm	B2	38	11	0	0	3	7			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	B3	34	9	2	2	4	6			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	B4	48	8	1	1	1	13			0	0		1	
31	16-Aug	16:05	AK & PTH	MOCK	zm	C1	44	7	2	2	3	16	1	3	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	C2	33	12	2	2	2	0			1	1			
31	16-Aug	16:05	AK & PTH	MOCK	zm	C3	45	7	2	2	3	16			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	C4	40	9	0	0	4	7			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	D1	30	8	1	1	3	0	1	4	0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	D2	32	14	3	3	5	0			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	D3	37	12	0	0	2	0			0	0			
31	16-Aug	16:05	AK & PTH	MOCK	zm	D4	24	11	2	2	4	1			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	A1	39	10	0	0	1	0			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	A2	26	8	3	3	1	0	2	1	0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	A3	30	10	2	1	1	0			1	0			
32	16-Aug	15:29	AK & PTH	SA	tx	A4	26	8	2	2	2	0			1	0			
32	16-Aug	15:29	AK & PTH	SA	tx	B1	44	7	5	5	4	9			2	1			
32	16-Aug	15:29	AK & PTH	SA	tx	B2	38	7	4	4	2	2	2	1	2	0			
32	16-Aug	15:29	AK & PTH	SA	tx	B3	50	8	1	1	0	6			1	0			
32	16-Aug	15:29	AK & PTH	SA	tx	B4	43	6	4	4	5	5			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	C1	50	5	3	3	3	17			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	C2	50	6	4	4	4	13	1	1	1	0			
32	16-Aug	15:29	AK & PTH	SA	tx	C3	40	7	2	2	4	4			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	C4	47	11	0	0	3	5			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	D1	40	6	0	0	2	4			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	D2	50	7	2	3	2	11			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	D3	51	9	2	2	4	11			0	0			
32	16-Aug	15:29	AK & PTH	SA	tx	D4	54	11	1	1	2	10	1	5	0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	A1	40	8	0	0	0	3			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	A2	44	11	0	0	2	15			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	A3	46	8	0	0	2	17			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	A4	38	5	1	1	0	4	1	2	0	1			
32	16-Aug	15:29	AK & PTH	SA	zm	B1	45	7	0	0	3	5			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	B2	57	8	2	2	0	17	2	2	0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	B3	52	8	2	2	0	10			1	0			
32	16-Aug	15:29	AK & PTH	SA	zm	B4	38	8	2	2	2	4			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	C1	42	9	1	1	3	15	1	4	0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	C2	36	9	0	0	1	0			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	C3	29	9	0	0	2	0			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	C4	45	5	2	2	5	17			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	D1	37	6	0	0	4	9			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	D2	33	9	3	3	3	0	2	3	0	1			
32	16-Aug	15:29	AK & PTH	SA	zm	D3	41	9	0	0	5	24			0	0			
32	16-Aug	15:29	AK & PTH	SA	zm	D4	40	10	0	0	4	12			0	0			
37	16-Aug	14:41	AK & PTH	SA	tx	A1	62	6	4	4	3	11			0	1			
37	16-Aug	14:41	AK & PTH	SA	tx	A2	60	5	4	4	2	6			0	1			
37	16-Aug	14:41	AK & PTH	SA	tx	A3	60	7	4	4	5	10			1	0			
37	16-Aug	14:41	AK & PTH	SA	tx	A4	55	7	5	5	4	5	1	NA	2	0			
37	16-Aug	14:41	AK & PTH	SA	tx	B1	60	6	4	4	4	9			1	0			
37	16-Aug	14:41	AK & PTH	SA	tx	B2	54	6	5	5	4	5			1	0			
37	16-Aug	14:41	AK & PTH	SA	tx	B3	54	5	4	4	4	3			0	0			
37	16-Aug	14:41	AK & PTH	SA	tx	B4	50	9	8	8	4	7	5	NA	1	0			
37	16-Aug	14:41	AK & PTH	SA	tx	C1	60	6	5	5	3	11			0	0			
37	16-Aug	14:41	AK & PTH	SA	tx	C2	62	8	6	6	2	10	5	1	0	0			
37	16-Aug	14:41	AK & PTH	SA	tx	C3	66	8	7	7	4	25			1	1			
37	16-Aug	14:41	AK & PTH	SA	tx	C4	61	11	8	8	2	7			3	0			
37	16-Aug	14:41	AK & PTH	SA	tx	D1	67	10	5	5	2	14	3	4	1	1			
37	16-Aug	14:41	AK & PTH	SA	tx	D2	46	7	1	1	2	1			0	0			
37	16-Aug	14:41	AK & PTH	SA	tx	D3	53	7	5	6	3	0			3	0			
37	16-Aug	14:41	AK & PTH	SA	tx	D4	50	6	4	4	3	3			2	0			
37	16-Aug	14:41	AK & PTH	SA	zm	A1	46	8	4	4	3	0	3	2	0	0			
37	16-Aug	14:41	AK & PTH	SA	zm	A2	63	7	4	4	3	0			2	0			
37	16-Aug	14:41	AK & PTH	SA	zm	A3	60	10	5	5	5	0			3	0			
37	16-Aug	14:41	AK & PTH	SA	zm	A4	69	10	4	4	5	0			0	0			
37	16-Aug	14:41	AK & PTH	SA	zm	B1	62	10	5	5	7	0	3	2	0	0			
37	16-Aug	14:41	AK & PTH	SA	zm	B2	62	10	2	2	2	0			1	0			
37	16-Aug	14:41	AK & PTH	SA	zm	B3	63	11	2	2	5	0			1	0			
37	16-Aug	14:41	AK & PTH	SA	zm	B4	58	9	5	5	2	2			1	0			
37	16-Aug	14:41	AK & PTH	SA	zm	C1	64	11	3	3	3	3	3	6	3	0			
37	16-Aug	14:41	AK & PTH	SA	zm	C2	61	10	9	9	5	0			8	0			
37	16-Aug	14:41	AK & PTH	SA	zm	C3	43	9	3	3	4	0			2	0			
37	16-Aug	14:41	AK & PTH	SA	zm	C4	69	13	10	11	5	5			4	1			
37	16-Aug	14:41	AK & PTH	SA	zm	D1	65	6	4	4	3	5	3	1	0	0			
37	16-Aug	14:41	AK & PTH	SA	zm	D2	69	7	5	5	3	25			2	0			
