samples	Sphingomonas1	Pseudomonas1	Caloribacterium1	Acetobacteraceae1	Pseudomonas2	Pseudomonas3	Massilia1	Pseudomonas4	Massilia2	Sphingomonas2	Xanthomonas	Pseudomonas5	Duganella1	Microbacteriaceae2	Microbacteriaceae1	Sphingomonas3	Geobacillus	Clavibacter	Pseudomonas6	Massilia3	Pedobacter1	Acetobacteraceae2	Anoxybacillus	Pseudomonas7	Sphingomonas4	Rhizobium1	Pseudaminobacter	Hyphomicrobium	Chryseobacterium1	Chryseobacterium2	Pedobacter2	Methylobacterium1	Planctomicrobium	Microbacteriaceae3	Sphingomonas5	Gaetbulimicrobium1	Microbacteriaceae4	Pseudomonas8	Gaetbulimicrobium2	Aureimonas	Sphingomonadaceae	Pseudomonas9	Puniceicoccus1	Massilia4	Polaromonas	Pseudomonas10	Janthinobacterium	Pseudomonas11	Acinetobacter	Pseudomonas12	Neorhizobium	Acetobacteraceae3	Pseudomonas13	Pseudomonas14	Methylobacterium2	Sphingomonas6	Rhodococcus	Escherichia	Chryseobacterium3	Puniceicoccus2	Flavobacterium	Sphingomonas7	Hymenobacter1	Sphingomonas8	Pedobacter3	Caloribacterium2	Sphingomonas9	Sphingomonas11	Persicirhabdus	Pseudomonas15	Pseudomonas29	Pseudomonas21	Pseudomonas24	Pseudomonas16	Massilia5	Sphingomonas10	Arthrobacter	Pseudomonas17	Sphingomonas12	Pseudomonas20	Comamonas	Pseudomonas19	Pseudomonas18	Brevundimonas	Sphingomonas13	Hymenobacter2	Pseudomonas22	Duganella2	Pseudomonas23	Hymenobacter3	Pseudomonas25	Rhizobium2	Staphylococcus	Sphingomonas14	Pseudomonas26	Devosia	Pseudomonas30	Pedobacter4	Acetobacteraceae4	Pseudomonas27	Pseudomonas28	Thermoproteus	Sphingomonas15	Lactococcus	Enterococcus	Sanguibacter	Ramlibacter1	Rhizobium3	Pedobacter5	Sphingomonas17	Pseudomonas35	Sphingomonas16	Sphingomonas18	Hymenobacter4	Pseudomonas32	Sphingomonas19	Epilithonimonas	Ramlibacter2	Sphingomonas21	Caloribacterium3	Pseudomonas31	Paenibacillus	Caloribacterium4	Pseudomonas33	Sphingomonas20	Caloribacterium5	Pseudomonas34	Caloribacterium6	Sphingomonas22	Methylobacterium3	Pseudomonas36	Cloacibacterium	Caloribacterium7	Caloribacterium8	Pseudomonas37	Caloribacterium9	Massilia6	Massilia7	Caloribacterium10	Massilia8	Sphingomonas23	Sphingomonas24	Methylobacterium4	Caloribacterium11	Caloribacterium12	Pseudomonas39	Microbacteriaceae5	Pseudomonas38	Sphingomonas25	Pseudomonas40	Sphingomonas26	Sphingomonas27	Phycisphaera	Caloribacterium13	Pseudomonas41	ROW_TOTALS	total_old	mtDNA	cpDNA	total	contam	prop_c	controls	exclude	in_MED	sample_mass	PlotNum	SubPlotTx	sp.cond	PlotCond	txfull	DmgM	herb.dmg.old	herb.dmg	stem.tx
NPB13_017_CU	57	56	1	1	0	3	0	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	161	9923	7156	2572	9889	9728	0.9837	0	0	NPB13_017_CU	0.085	17	C	MOCK	JA	JAC	n	0	0	MC
NPB13_044_CU	38	84	8	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	170	22783	21909	567	22646	22476	0.9925	0	0	NPB13_044_CU	0.0906	44	C	MOCK	JA	JAC	n	0	0	MC
NPB13_057_TU	9	152	8	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	9797	3909	5672	9765	9581	0.9812	0	0	NPB13_057_TU	0.0804	57	TX	MOCK	M	MTX	n	0	0	MC
NPB13_040_CU	16	11	129	0	0	0	0	0	0	1	0	0	19	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	194	13032	4615	8118	12927	12733	0.9850	0	0	NPB13_040_CU	0.0727	40	C	MOCK	SA	SAC	n	0	0	MC
NPB13_024_TU	7	78	8	0	39	3	0	2	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	9380	4529	4622	9357	9151	0.9780	0	0	NPB13_024_TU	0.0846	24	TX	SA	SA	SATX	n	0	0	SATX
NPB13_041_TU	137	14	10	1	0	10	2	0	0	0	0	0	14	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	223	12391	11668	387	12278	12055	0.9818	0	0	NPB13_041_TU	0.091	41	TX	MOCK	M	MTX	n	0	0	MC
NPB13_045_CU	42	153	10	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	231	14987	14112	531	14874	14643	0.9845	0	0	NPB13_045_CU	0.0955	45	C	MOCK	JA	JAC	n	0	0	MC
NPB13_006_CU	123	26	11	0	4	21	6	0	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	248	16476	13575	2593	16416	16168	0.9849	0	0	NPB13_006_CU	0.07	6	C	MOCK	JA	JAC	n	0	0	MC
NPB13_038_TU	11	63	12	0	3	16	0	2	8	0	0	0	13	4	6	0	0	0	4	5	0	1	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	32	0	0	0	0	0	3	0	0	0	0	0	8	0	15	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	19883	16675	2851	19798	19526	0.9863	0	0	NPB13_038_TU	0.0893	38	TX	JA	JA	JATX	n	0	0	JATX
NPB13_017_TU	45	163	12	0	1	2	0	3	0	0	0	0	1	0	14	3	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	9770	6370	3055	9699	9425	0.9717	0	0	NPB13_017_TU	0.0605	17	TX	JA	JA	JATX	n	0	0	JATX
