

This is RAxML version 7.7.6 released by Alexandros Stamatakis on August 29 2013.

With greatly appreciated code contributions by:
Andre Aberer (HITS)
Simon Berger (HITS)
Nick Pattengale (Sandia)
Wayne Pfeiffer (SDSC)
Akifumi S. Tanabe (NRIFS)


Alignment has 178 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 3.07%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
ML estimate of 25 per site rate categories

Likelihood of final tree will be evaluated and optimized under GAMMA

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 178
Name: No Name Provided
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS-SSE3 -s node_reps_aln.filter.phy -n node_reps_aln.filter.out -m GTRCAT -f a -x 123 -N autoMRE -p 456 -T 2 



Time for BS model parameter optimization 3.507031
Bootstrap[54]: Time 11.022996 seconds, bootstrap likelihood -4455.252326, best rearrangement setting 10
Bootstrap[55]: Time 12.976367 seconds, bootstrap likelihood -4361.348256, best rearrangement setting 11
Bootstrap[56]: Time 11.185651 seconds, bootstrap likelihood -3964.951173, best rearrangement setting 12
Bootstrap[57]: Time 11.015051 seconds, bootstrap likelihood -5084.699744, best rearrangement setting 9
Bootstrap[58]: Time 11.792550 seconds, bootstrap likelihood -4718.515410, best rearrangement setting 11
Bootstrap[59]: Time 11.404691 seconds, bootstrap likelihood -5047.416013, best rearrangement setting 8
Bootstrap[60]: Time 11.520535 seconds, bootstrap likelihood -4406.377199, best rearrangement setting 11
Bootstrap[61]: Time 10.358961 seconds, bootstrap likelihood -4816.933099, best rearrangement setting 12
Bootstrap[62]: Time 11.066635 seconds, bootstrap likelihood -4744.509242, best rearrangement setting 15
Bootstrap[63]: Time 9.261065 seconds, bootstrap likelihood -4530.393943, best rearrangement setting 6
Bootstrap[64]: Time 11.599084 seconds, bootstrap likelihood -4154.886834, best rearrangement setting 15
Bootstrap[65]: Time 10.769887 seconds, bootstrap likelihood -4389.091212, best rearrangement setting 15
Bootstrap[66]: Time 10.824972 seconds, bootstrap likelihood -4614.753579, best rearrangement setting 9
Bootstrap[67]: Time 10.634818 seconds, bootstrap likelihood -4627.923642, best rearrangement setting 7
Bootstrap[68]: Time 9.701925 seconds, bootstrap likelihood -4609.733587, best rearrangement setting 6
Bootstrap[69]: Time 11.820914 seconds, bootstrap likelihood -4770.409547, best rearrangement setting 10
Bootstrap[70]: Time 10.795556 seconds, bootstrap likelihood -5346.762765, best rearrangement setting 15
Bootstrap[71]: Time 9.258101 seconds, bootstrap likelihood -4740.002229, best rearrangement setting 8
Bootstrap[72]: Time 10.517017 seconds, bootstrap likelihood -4729.629080, best rearrangement setting 8
Bootstrap[73]: Time 10.497823 seconds, bootstrap likelihood -4423.674156, best rearrangement setting 14
Bootstrap[74]: Time 10.460678 seconds, bootstrap likelihood -4679.866449, best rearrangement setting 11
Bootstrap[75]: Time 10.504774 seconds, bootstrap likelihood -4352.892205, best rearrangement setting 11
Bootstrap[76]: Time 8.952195 seconds, bootstrap likelihood -5241.113991, best rearrangement setting 7
Bootstrap[77]: Time 10.455772 seconds, bootstrap likelihood -4518.943364, best rearrangement setting 7
Bootstrap[78]: Time 11.097977 seconds, bootstrap likelihood -4288.392021, best rearrangement setting 15
Bootstrap[79]: Time 11.717880 seconds, bootstrap likelihood -4528.569749, best rearrangement setting 14
Bootstrap[80]: Time 10.905117 seconds, bootstrap likelihood -4289.754493, best rearrangement setting 13
Bootstrap[81]: Time 11.226903 seconds, bootstrap likelihood -4377.677386, best rearrangement setting 12
Bootstrap[82]: Time 10.605669 seconds, bootstrap likelihood -4168.466698, best rearrangement setting 10
Bootstrap[83]: Time 10.125117 seconds, bootstrap likelihood -4651.591598, best rearrangement setting 8
Bootstrap[84]: Time 12.322860 seconds, bootstrap likelihood -4451.658902, best rearrangement setting 15
Bootstrap[85]: Time 11.041196 seconds, bootstrap likelihood -4750.512154, best rearrangement setting 13
Bootstrap[86]: Time 10.540399 seconds, bootstrap likelihood -4527.019939, best rearrangement setting 10
Bootstrap[87]: Time 13.438222 seconds, bootstrap likelihood -4229.777396, best rearrangement setting 11
Bootstrap[88]: Time 12.301387 seconds, bootstrap likelihood -4477.075253, best rearrangement setting 11
Bootstrap[89]: Time 9.614476 seconds, bootstrap likelihood -4874.499913, best rearrangement setting 6
Bootstrap[90]: Time 10.031018 seconds, bootstrap likelihood -3896.919015, best rearrangement setting 10
Bootstrap[91]: Time 12.281076 seconds, bootstrap likelihood -5321.297875, best rearrangement setting 9
Bootstrap[92]: Time 12.915867 seconds, bootstrap likelihood -4331.229148, best rearrangement setting 15
Bootstrap[93]: Time 12.435018 seconds, bootstrap likelihood -4482.429454, best rearrangement setting 14
Bootstrap[94]: Time 10.182825 seconds, bootstrap likelihood -4728.074896, best rearrangement setting 6
Bootstrap[95]: Time 11.367642 seconds, bootstrap likelihood -4791.474148, best rearrangement setting 9
Bootstrap[96]: Time 11.023554 seconds, bootstrap likelihood -4906.742696, best rearrangement setting 15
Bootstrap[97]: Time 9.709351 seconds, bootstrap likelihood -4285.996687, best rearrangement setting 6
Bootstrap[98]: Time 9.974628 seconds, bootstrap likelihood -4199.109193, best rearrangement setting 6
Bootstrap[99]: Time 11.545198 seconds, bootstrap likelihood -4691.320648, best rearrangement setting 12
Bootstrap[100]: Time 10.248066 seconds, bootstrap likelihood -3995.450537, best rearrangement setting 8
Bootstrap[101]: Time 10.001382 seconds, bootstrap likelihood -4446.778837, best rearrangement setting 11
Bootstrap[102]: Time 11.480193 seconds, bootstrap likelihood -4412.380362, best rearrangement setting 10
Bootstrap[103]: Time 11.506657 seconds, bootstrap likelihood -4141.965658, best rearrangement setting 12
Bootstrap[104]: Time 11.576490 seconds, bootstrap likelihood -4949.931848, best rearrangement setting 11
Bootstrap[105]: Time 11.603800 seconds, bootstrap likelihood -4239.696722, best rearrangement setting 12
Bootstrap[106]: Time 12.263597 seconds, bootstrap likelihood -5101.427538, best rearrangement setting 12
Bootstrap[107]: Time 8.503169 seconds, bootstrap likelihood -4308.389006, best rearrangement setting 6
Bootstrap[108]: Time 11.102352 seconds, bootstrap likelihood -4272.902470, best rearrangement setting 10
Bootstrap[109]: Time 11.737158 seconds, bootstrap likelihood -5016.399121, best rearrangement setting 12
Bootstrap[110]: Time 10.611649 seconds, bootstrap likelihood -4356.556425, best rearrangement setting 9
Bootstrap[111]: Time 10.389401 seconds, bootstrap likelihood -4826.410865, best rearrangement setting 7
Bootstrap[112]: Time 11.546692 seconds, bootstrap likelihood -4253.544634, best rearrangement setting 12
Bootstrap[113]: Time 12.011673 seconds, bootstrap likelihood -4627.992370, best rearrangement setting 13
Bootstrap[114]: Time 10.837493 seconds, bootstrap likelihood -4559.925284, best rearrangement setting 8
Bootstrap[115]: Time 9.829769 seconds, bootstrap likelihood -4898.411064, best rearrangement setting 7
Bootstrap[116]: Time 11.499217 seconds, bootstrap likelihood -4367.556991, best rearrangement setting 12
Bootstrap[117]: Time 9.441565 seconds, bootstrap likelihood -4333.417888, best rearrangement setting 12
Bootstrap[118]: Time 11.360218 seconds, bootstrap likelihood -4689.953444, best rearrangement setting 13
Bootstrap[119]: Time 10.550497 seconds, bootstrap likelihood -4729.688346, best rearrangement setting 13
Bootstrap[120]: Time 10.835310 seconds, bootstrap likelihood -4527.551750, best rearrangement setting 9
Bootstrap[121]: Time 11.631459 seconds, bootstrap likelihood -4283.972145, best rearrangement setting 9
Bootstrap[122]: Time 11.353432 seconds, bootstrap likelihood -4723.667667, best rearrangement setting 14
Bootstrap[123]: Time 10.479829 seconds, bootstrap likelihood -4683.758972, best rearrangement setting 8
Bootstrap[124]: Time 11.151639 seconds, bootstrap likelihood -4557.377591, best rearrangement setting 14
Bootstrap[125]: Time 9.734573 seconds, bootstrap likelihood -4510.830654, best rearrangement setting 6
Bootstrap[126]: Time 9.244448 seconds, bootstrap likelihood -4412.176781, best rearrangement setting 5
Bootstrap[127]: Time 10.098845 seconds, bootstrap likelihood -4337.008546, best rearrangement setting 5
Bootstrap[128]: Time 9.206041 seconds, bootstrap likelihood -4746.907696, best rearrangement setting 5
Bootstrap[129]: Time 10.812014 seconds, bootstrap likelihood -4063.101810, best rearrangement setting 7
Bootstrap[130]: Time 9.795005 seconds, bootstrap likelihood -4451.100887, best rearrangement setting 6
Bootstrap[131]: Time 11.019026 seconds, bootstrap likelihood -4813.581660, best rearrangement setting 10
Bootstrap[132]: Time 11.092874 seconds, bootstrap likelihood -3829.736163, best rearrangement setting 14
Bootstrap[133]: Time 9.218270 seconds, bootstrap likelihood -4767.774317, best rearrangement setting 5
Bootstrap[134]: Time 11.939364 seconds, bootstrap likelihood -5036.536742, best rearrangement setting 11
Bootstrap[135]: Time 11.519066 seconds, bootstrap likelihood -5003.208612, best rearrangement setting 12
Bootstrap[136]: Time 9.646824 seconds, bootstrap likelihood -4542.194309, best rearrangement setting 6
Bootstrap[137]: Time 11.200210 seconds, bootstrap likelihood -4665.987145, best rearrangement setting 11
Bootstrap[138]: Time 10.002398 seconds, bootstrap likelihood -4777.294387, best rearrangement setting 6
Bootstrap[139]: Time 10.673546 seconds, bootstrap likelihood -5104.156359, best rearrangement setting 6
Bootstrap[140]: Time 11.273811 seconds, bootstrap likelihood -4432.470059, best rearrangement setting 10
Bootstrap[141]: Time 11.654699 seconds, bootstrap likelihood -4617.986711, best rearrangement setting 9
Bootstrap[142]: Time 13.045449 seconds, bootstrap likelihood -4492.363899, best rearrangement setting 11
Bootstrap[143]: Time 11.893948 seconds, bootstrap likelihood -4537.248017, best rearrangement setting 8
Bootstrap[144]: Time 10.648547 seconds, bootstrap likelihood -4475.821611, best rearrangement setting 15
Bootstrap[145]: Time 10.524252 seconds, bootstrap likelihood -4246.996693, best rearrangement setting 10
Bootstrap[146]: Time 11.270832 seconds, bootstrap likelihood -4308.427563, best rearrangement setting 14
Bootstrap[147]: Time 9.490549 seconds, bootstrap likelihood -4088.920393, best rearrangement setting 8
Bootstrap[148]: Time 12.573295 seconds, bootstrap likelihood -4332.087573, best rearrangement setting 14
Bootstrap[149]: Time 11.183024 seconds, bootstrap likelihood -4661.782791, best rearrangement setting 10
Bootstrap[150]: Time 8.882532 seconds, bootstrap likelihood -4761.268522, best rearrangement setting 5
Bootstrap[151]: Time 12.060082 seconds, bootstrap likelihood -4152.053808, best rearrangement setting 12
Bootstrap[152]: Time 10.634817 seconds, bootstrap likelihood -4394.155310, best rearrangement setting 9
Bootstrap[153]: Time 11.494871 seconds, bootstrap likelihood -4682.419565, best rearrangement setting 11
Bootstrap[154]: Time 10.855115 seconds, bootstrap likelihood -4689.418002, best rearrangement setting 8
Bootstrap[155]: Time 11.127573 seconds, bootstrap likelihood -4559.780794, best rearrangement setting 9
Bootstrap[156]: Time 12.159438 seconds, bootstrap likelihood -4943.930171, best rearrangement setting 15
Bootstrap[157]: Time 10.549366 seconds, bootstrap likelihood -4418.530749, best rearrangement setting 11
Bootstrap[158]: Time 10.870629 seconds, bootstrap likelihood -4609.820063, best rearrangement setting 7
Bootstrap[159]: Time 11.100668 seconds, bootstrap likelihood -4863.779200, best rearrangement setting 12
